,unix,timestamps,binance,kucoin,ftx,max,min,mean,median
0,1663113600000,2022-09-14 00:00:00,1572.9,1572.73,1573.0,1573.0,1572.73,1572.8766666666668,1572.9
1,1663113660000,2022-09-14 00:01:00,1569.75,1569.71,1569.5,1569.75,1569.5,1569.6533333333334,1569.71
2,1663113720000,2022-09-14 00:02:00,1567.4,1567.58,1568.0,1568.0,1567.4,1567.6599999999999,1567.58
3,1663113780000,2022-09-14 00:03:00,1568.04,1568.12,1568.2,1568.2,1568.04,1568.12,1568.12
4,1663113840000,2022-09-14 00:04:00,1567.59,1567.88,1567.6,1567.88,1567.59,1567.6899999999998,1567.6
5,1663113900000,2022-09-14 00:05:00,1565.75,1565.67,1566.0,1566.0,1565.67,1565.8066666666666,1565.75
6,1663113960000,2022-09-14 00:06:00,1568.81,1568.89,1568.6,1568.89,1568.6,1568.7666666666664,1568.81
7,1663114020000,2022-09-14 00:07:00,1568.54,1568.4,1569.0,1569.0,1568.4,1568.6466666666668,1568.54
8,1663114080000,2022-09-14 00:08:00,1573.31,1573.14,1573.4,1573.4,1573.14,1573.2833333333335,1573.31
9,1663114140000,2022-09-14 00:09:00,1575.1,1575.14,1574.8,1575.14,1574.8,1575.0133333333333,1575.1
10,1663114200000,2022-09-14 00:10:00,1574.61,1574.38,1574.4,1574.61,1574.38,1574.4633333333331,1574.4
11,1663114260000,2022-09-14 00:11:00,1577.42,1577.16,1577.1,1577.42,1577.1,1577.2266666666667,1577.16
12,1663114320000,2022-09-14 00:12:00,1578.26,1578.11,1578.2,1578.26,1578.11,1578.1899999999998,1578.2
13,1663114380000,2022-09-14 00:13:00,1577.49,1577.42,1577.3,1577.49,1577.3,1577.4033333333334,1577.42
14,1663114440000,2022-09-14 00:14:00,1577.6,1577.36,1577.4,1577.6,1577.36,1577.4533333333336,1577.4
15,1663114500000,2022-09-14 00:15:00,1576.51,1576.28,1576.3,1576.51,1576.28,1576.3633333333335,1576.3
16,1663114560000,2022-09-14 00:16:00,1574.23,1574.33,1574.1,1574.33,1574.1,1574.22,1574.23
17,1663114620000,2022-09-14 00:17:00,1568.12,1568.03,1568.2,1568.2,1568.03,1568.1166666666666,1568.12
18,1663114680000,2022-09-14 00:18:00,1565.08,1565.1,1564.7,1565.1,1564.7,1564.96,1565.08
19,1663114740000,2022-09-14 00:19:00,1560.7,1560.69,1560.7,1560.7,1560.69,1560.6966666666667,1560.7
20,1663114800000,2022-09-14 00:20:00,1558.32,1558.31,1558.6,1558.6,1558.31,1558.4099999999999,1558.32
21,1663114860000,2022-09-14 00:21:00,1558.62,1558.79,1558.5,1558.79,1558.5,1558.6366666666665,1558.62
22,1663114920000,2022-09-14 00:22:00,1566.03,1565.73,1566.7,1566.7,1565.73,1566.1533333333334,1566.03
23,1663114980000,2022-09-14 00:23:00,1565.0,1564.85,1564.7,1565.0,1564.7,1564.8500000000001,1564.85
24,1663115040000,2022-09-14 00:24:00,1569.14,1569.04,1568.8,1569.14,1568.8,1568.9933333333336,1569.04
25,1663115100000,2022-09-14 00:25:00,1572.26,1572.05,1572.4,1572.4,1572.05,1572.2366666666667,1572.26
26,1663115160000,2022-09-14 00:26:00,1570.0,1570.2,1570.1,1570.2,1570.0,1570.0999999999997,1570.1
27,1663115220000,2022-09-14 00:27:00,1569.51,1569.54,1569.8,1569.8,1569.51,1569.6166666666668,1569.54
28,1663115280000,2022-09-14 00:28:00,1570.0,1569.6,1570.0,1570.0,1569.6,1569.8666666666668,1570.0
29,1663115340000,2022-09-14 00:29:00,1569.26,1569.88,1569.2,1569.88,1569.2,1569.4466666666667,1569.26
30,1663115400000,2022-09-14 00:30:00,1570.33,1570.49,1570.6,1570.6,1570.33,1570.4733333333334,1570.49
31,1663115460000,2022-09-14 00:31:00,1565.35,1565.01,1564.8,1565.35,1564.8,1565.0533333333333,1565.01
32,1663115520000,2022-09-14 00:32:00,1568.25,1568.12,1568.3,1568.3,1568.12,1568.2233333333334,1568.25
33,1663115580000,2022-09-14 00:33:00,1567.98,1568.15,1567.9,1568.15,1567.9,1568.0100000000002,1567.98
34,1663115640000,2022-09-14 00:34:00,1566.13,1566.11,1566.0,1566.13,1566.0,1566.08,1566.11
35,1663115700000,2022-09-14 00:35:00,1565.5,1565.23,1564.6,1565.5,1564.6,1565.11,1565.23
36,1663115760000,2022-09-14 00:36:00,1563.44,1563.79,1563.1,1563.79,1563.1,1563.4433333333334,1563.44
37,1663115820000,2022-09-14 00:37:00,1563.48,1563.56,1563.5,1563.56,1563.48,1563.5133333333333,1563.5
38,1663115880000,2022-09-14 00:38:00,1565.21,1565.24,1564.9,1565.24,1564.9,1565.1166666666668,1565.21
39,1663115940000,2022-09-14 00:39:00,1566.77,1566.79,1566.7,1566.79,1566.7,1566.7533333333333,1566.77
40,1663116000000,2022-09-14 00:40:00,1564.79,1564.77,1565.0,1565.0,1564.77,1564.8533333333332,1564.79
41,1663116060000,2022-09-14 00:41:00,1565.61,1565.5,1565.4,1565.61,1565.4,1565.5033333333333,1565.5
42,1663116120000,2022-09-14 00:42:00,1567.73,1567.63,1567.3,1567.73,1567.3,1567.5533333333333,1567.63
43,1663116180000,2022-09-14 00:43:00,1569.18,1569.0,1568.5,1569.18,1568.5,1568.8933333333334,1569.0
44,1663116240000,2022-09-14 00:44:00,1574.56,1573.94,1574.3,1574.56,1573.94,1574.2666666666667,1574.3
45,1663116300000,2022-09-14 00:45:00,1569.96,1569.86,1569.8,1569.96,1569.8,1569.8733333333332,1569.86
