timestamp,FtxGlobal,FtxUs,DyDx,max,min,mean,median
2022-08-19,1733.83,1733.83,1733.83,1733.83,1733.83,1733.83,1733.83
2022-08-20,1617.48,1617.48,1617.48,1617.48,1617.48,1617.48,1617.48
2022-08-21,1606.6,1606.6,1606.6,1606.6,1606.6,1606.6,1606.6
2022-08-22,1579.83,1579.83,1579.83,1579.83,1579.83,1579.83,1579.83
2022-08-23,1624.96,1624.96,1624.96,1624.96,1624.96,1624.96,1624.96
2022-08-24,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
2022-08-25,1695.58,1695.58,1695.58,1695.58,1695.58,1695.58,1695.58
2022-08-26,1627.59,1627.59,1627.59,1627.59,1627.59,1627.59,1627.59
2022-08-27,1490.74,1490.74,1490.74,1490.74,1490.74,1490.74,1490.74
2022-08-28,1484.33,1484.33,1484.33,1484.33,1484.33,1484.33,1484.33
2022-08-29,1483.75,1483.75,1483.75,1483.75,1483.75,1483.75,1483.75
2022-08-30,1551.42,1552.29,1551.42,1552.4,1551.31,1551.71,1551.42
2022-08-31,1576.54,1577.2,1576.54,1577.44,1576.3,1576.76,1576.54
2022-09-01,1557.64,1558.26,1557.64,1558.41,1557.48,1557.85,1557.64
2022-09-02,1592.46,1592.95,1592.46,1593.12,1592.29,1592.62,1592.46
2022-09-03,1556.58,1557.22,1557.07,1557.43,1556.47,1556.96,1556.97
2022-09-04,1559.03,1559.58,1559.26,1559.73,1558.83,1559.29,1559.3
2022-09-05,1579.75,1580.41,1579.78,1580.53,1579.51,1579.98,1579.9
2022-09-06,1633.78,1634.27,1633.8,1634.69,1633.21,1633.95,1633.95
2022-09-07,1546.69,1547.46,1547.06,1547.68,1546.45,1547.07,1547.07
2022-09-08,1629.49,1630.02,1629.88,1630.48,1629.11,1629.8,1629.8
2022-09-09,1698.92,1699.66,1699.53,1700.05,1698.69,1699.37,1699.37
2022-09-10,1729.99,1730.88,1730.48,1731.05,1729.82,1730.45,1730.48
2022-09-11,1763.4,1764.64,1763.82,1764.72,1763.27,1763.95,1763.87
2022-09-12,1731.72,1733.83,1733.15,1734.01,1731.62,1732.9,1733.06
2022-09-13,1657.3,1661.22,1660.1,1661.44,1657.25,1659.54,1659.93
2022-09-14,1590.51,1600.45,1597.1,1600.46,1590.51,1596.02,1597.09
