timestamp,FtxGlobal,FtxUs,DyDx,max,min,mean,median
2022-08-19,1733.72,1733.72,1733.72,1733.72,1733.72,1733.72,1733.72
2022-08-20,1617.36,1617.36,1617.36,1617.36,1617.36,1617.36,1617.36
2022-08-21,1606.5,1606.5,1606.5,1606.5,1606.5,1606.5,1606.5
2022-08-22,1579.72,1579.72,1579.72,1579.72,1579.72,1579.72,1579.72
2022-08-23,1624.86,1624.86,1624.86,1624.86,1624.86,1624.86,1624.86
2022-08-24,1649.9,1649.9,1649.9,1649.9,1649.9,1649.9,1649.9
2022-08-25,1695.48,1695.48,1695.48,1695.48,1695.48,1695.48,1695.48
2022-08-26,1627.48,1627.48,1627.48,1627.48,1627.48,1627.48,1627.48
2022-08-27,1490.64,1490.64,1490.64,1490.64,1490.64,1490.64,1490.64
2022-08-28,1484.22,1484.22,1484.22,1484.22,1484.22,1484.22,1484.22
2022-08-29,1483.65,1483.65,1483.65,1483.65,1483.65,1483.65,1483.65
2022-08-30,1551.31,1552.11,1551.31,1552.23,1551.19,1551.58,1551.31
2022-08-31,1576.43,1577.0,1576.43,1577.26,1576.17,1576.62,1576.43
2022-09-01,1557.53,1558.09,1557.53,1558.26,1557.36,1557.72,1557.53
2022-09-02,1592.35,1592.79,1592.35,1592.97,1592.16,1592.5,1592.35
2022-09-03,1556.48,1557.1,1556.92,1557.29,1556.36,1556.83,1556.84
2022-09-04,1558.92,1559.46,1559.11,1559.6,1558.71,1559.16,1559.17
2022-09-05,1579.65,1580.29,1579.63,1580.4,1579.39,1579.85,1579.78
2022-09-06,1633.67,1634.08,1633.64,1634.54,1633.06,1633.8,1633.79
2022-09-07,1546.58,1547.29,1546.9,1547.52,1546.32,1546.92,1546.92
2022-09-08,1629.38,1629.85,1629.7,1630.31,1628.97,1629.64,1629.65
2022-09-09,1698.81,1699.49,1699.36,1699.89,1698.56,1699.22,1699.22
2022-09-10,1729.88,1730.74,1730.32,1730.91,1729.71,1730.32,1730.33
2022-09-11,1763.29,1764.51,1763.66,1764.59,1763.15,1763.82,1763.72
2022-09-12,1731.61,1733.66,1732.98,1733.85,1731.51,1732.75,1732.9
2022-09-13,1657.19,1661.01,1659.93,1661.25,1657.14,1659.37,1659.74
2022-09-14,1590.4,1600.25,1596.94,1600.26,1590.4,1595.86,1596.93
