timestamp,FtxGlobal,FtxUs,DyDx,max,min,mean,median
2022-08-19,1733.78,1733.78,1733.78,1733.78,1733.78,1733.78,1733.78
2022-08-20,1617.42,1617.42,1617.42,1617.42,1617.42,1617.42,1617.42
2022-08-21,1606.55,1606.55,1606.55,1606.55,1606.55,1606.55,1606.55
2022-08-22,1579.77,1579.77,1579.77,1579.77,1579.77,1579.77,1579.77
2022-08-23,1624.91,1624.91,1624.91,1624.91,1624.91,1624.91,1624.91
2022-08-24,1649.95,1649.95,1649.95,1649.95,1649.95,1649.95,1649.95
2022-08-25,1695.53,1695.53,1695.53,1695.53,1695.53,1695.53,1695.53
2022-08-26,1627.54,1627.54,1627.54,1627.54,1627.54,1627.54,1627.54
2022-08-27,1490.69,1490.69,1490.69,1490.69,1490.69,1490.69,1490.69
2022-08-28,1484.28,1484.28,1484.28,1484.28,1484.28,1484.28,1484.28
2022-08-29,1483.7,1483.7,1483.7,1483.7,1483.7,1483.7,1483.7
2022-08-30,1551.36,1552.2,1551.36,1552.32,1551.25,1551.64,1551.36
2022-08-31,1576.48,1577.1,1576.48,1577.35,1576.24,1576.69,1576.48
2022-09-01,1557.59,1558.18,1557.59,1558.34,1557.42,1557.78,1557.59
2022-09-02,1592.4,1592.87,1592.4,1593.05,1592.23,1592.56,1592.4
2022-09-03,1556.53,1557.16,1557.0,1557.36,1556.42,1556.89,1556.91
2022-09-04,1558.97,1559.52,1559.18,1559.66,1558.77,1559.22,1559.24
2022-09-05,1579.7,1580.35,1579.7,1580.46,1579.45,1579.92,1579.84
2022-09-06,1633.72,1634.18,1633.72,1634.61,1633.14,1633.87,1633.87
2022-09-07,1546.63,1547.37,1546.98,1547.6,1546.39,1546.99,1546.99
2022-09-08,1629.43,1629.94,1629.79,1630.39,1629.04,1629.72,1629.72
2022-09-09,1698.86,1699.58,1699.45,1699.97,1698.63,1699.29,1699.29
2022-09-10,1729.94,1730.81,1730.4,1730.98,1729.77,1730.38,1730.41
2022-09-11,1763.35,1764.58,1763.74,1764.65,1763.21,1763.89,1763.8
2022-09-12,1731.66,1733.75,1733.07,1733.93,1731.57,1732.83,1732.98
2022-09-13,1657.24,1661.11,1660.01,1661.35,1657.19,1659.46,1659.83
2022-09-14,1590.45,1600.35,1597.02,1600.36,1590.45,1595.94,1597.01
