timestamp,max,min,mean
2022-08-18,1.9,0.1,0.733
2022-08-19,0.0,0.0,0.0
2022-08-20,0.0,0.0,0.0
2022-08-21,0.0,0.0,0.0
2022-08-22,0.0,0.0,0.0
2022-08-23,0.0,0.0,0.0
2022-08-24,0.0,0.0,0.0
2022-08-25,0.0,0.0,0.0
2022-08-26,0.0,0.0,0.0
2022-08-27,0.0,0.0,0.0
2022-08-28,0.0,0.0,0.0
2022-08-29,1.2,0.0,0.004
2022-08-30,18.4,0.0,1.072
2022-08-31,10.3,0.0,1.113
2022-09-01,11.0,0.0,0.916
2022-09-02,9.45,0.0,0.82
2022-09-03,4.5,0.0,0.535
2022-09-04,3.4,0.0,0.537
2022-09-05,4.6,0.0,0.789
2022-09-06,11.8,0.0,0.885
2022-09-07,9.0,0.0,0.755
2022-09-08,12.7,0.0,0.831
2022-09-09,7.25,0.0,0.794
2022-09-10,19.05,0.0,0.656
2022-09-11,6.7,0.0,0.97
2022-09-12,5.9,0.0,0.971
2022-09-13,47.5,0.0,1.547
2022-09-14,10.25,0.05,3.35
2022-09-15,13.5,3.15,7.802
